,id,pid,ms_subclass,ms_zoning,lot_area,street,regular_lot,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_floors,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,fancy_masonry,mas_vnr_area,exter_exc,exter_cond,conc_found,bsmt_exc,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_exc,central_air,stand_elec,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_exc,totrms_abvgrd,functional,fireplaces,garage_connect,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,sell_diff,remod_diff,remod_x_sell,salepricelog,over_exc,qual_sqaure,exc_x_qual
445,2635,535478110,190,RL,7000,Pave,1,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,2fmCon,1.5,5,5,1962,1962,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,0,0,TA,Av,ALQ,953.0,Unf,0.0,72.0,1025.0,GasA,0,1,1,1025,0,0,1025,1.0,0.0,1,0,3,1,0,6,Typ,0,0,0.0,0.0,1,96,80,0,0,0,No,0,3,2006,WD ,124000,44,44,1936,11.728036844587175,0,25,0
454,104,533223100,160,FV,2403,Pave,0,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2.0,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,0,0.0,1,TA,1,1,TA,No,GLQ,244.0,Unf,0.0,286.0,530.0,GasA,1,1,1,530,550,0,1080,0.0,0.0,2,1,2,1,1,4,Typ,0,1,2.0,496.0,1,0,50,0,0,0,No,0,6,2010,WD ,147110,7,7,49,11.898935885244258,16,49,784
458,9,527146030,120,RL,5389,Pave,0,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1.0,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,0,0.0,1,TA,1,1,TA,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,GasA,1,1,1,1616,0,0,1616,1.0,0.0,2,0,2,1,1,5,Typ,1,1,2.0,608.0,1,237,152,0,0,0,No,0,3,2010,WD ,236500,15,14,210,12.373703486914124,16,64,1024
468,2220,909282020,70,RL,7259,Pave,0,Lvl,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2.0,6,8,1945,2002,Gambrel,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,0,TA,No,ALQ,774.0,LwQ,150.0,104.0,1028.0,GasA,1,1,1,1436,884,0,2320,1.0,0.0,2,1,3,1,1,9,Typ,1,0,1.0,180.0,1,224,0,0,0,0,MnPrv,0,7,2007,WD ,259500,62,5,310,12.46651198158808,4,36,144
470,163,535453070,20,RL,7500,Pave,1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,5,7,1959,1994,Hip,CompShg,BrkFace,BrkFace,0,0.0,0,TA,0,0,TA,No,LwQ,340.0,Rec,906.0,0.0,1246.0,GasA,1,1,1,1246,0,0,1246,1.0,0.0,1,1,3,1,1,6,Typ,0,1,1.0,305.0,1,218,0,0,0,0,GdPrv,0,5,2010,WD ,154000,51,16,816,11.944707881395766,4,25,100
472,2734,905403050,50,RL,6488,Pave,1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5,5,5,1942,1950,Gable,CompShg,BrkFace,Wd Sdng,0,0.0,0,TA,0,0,TA,No,LwQ,230.0,Unf,0.0,569.0,799.0,GasA,1,0,0,799,351,0,1150,0.0,0.0,1,0,3,1,0,6,Mod,2,1,1.0,215.0,1,264,0,0,0,0,No,0,3,2006,WD ,128000,64,56,3584,11.759785542901755,1,25,25
474,2216,909276210,50,RL,7810,Pave,0,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5,4,6,1930,2003,Gable,CompShg,AsbShng,CmentBd,0,0.0,0,Gd,0,0,Gd,No,GLQ,189.0,Unf,0.0,741.0,930.0,GasA,1,1,1,1230,525,0,1755,0.0,0.0,2,0,4,1,1,7,Typ,1,0,1.0,231.0,1,0,40,0,0,0,No,0,11,2007,WD ,188000,77,4,308,12.144197241812087,4,16,64
476,97,533212010,160,FV,3182,Pave,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2.0,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,0,0.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,600.0,600.0,GasA,1,1,1,600,600,0,1200,0.0,0.0,2,1,2,1,1,4,Typ,0,0,2.0,480.0,1,0,172,0,0,0,No,0,6,2010,WD ,151000,6,5,30,11.925035115797062,16,49,784
477,1680,527451170,160,RM,1920,Pave,1,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2.0,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,1,376.0,0,TA,0,0,TA,No,ALQ,471.0,Unf,0.0,294.0,765.0,GasA,1,1,1,765,600,0,1365,1.0,0.0,1,1,2,1,0,6,Min1,0,0,2.0,440.0,1,240,36,0,0,0,No,0,8,2007,WD ,122500,36,36,1296,11.715866308966918,1,25,25
485,155,535327140,20,RL,7200,Pave,1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,5,7,1955,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,0,TA,0,0,No,No,No,0.0,No,0.0,0.0,0.0,GasA,1,1,1,827,0,0,827,0.0,0.0,1,0,2,1,0,5,Mod,1,0,1.0,392.0,1,0,0,0,0,0,No,0,4,2010,WD ,107500,55,3,165,11.585246126549855,1,25,25
486,1318,902328040,75,RM,6300,Pave,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5,6,6,1914,2001,Gable,CompShg,Wd Sdng,Wd Shng,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,742.0,742.0,GasA,1,1,1,742,742,0,1484,0.0,0.0,2,0,3,1,0,9,Typ,1,0,0.0,0.0,1,0,291,134,0,0,No,0,6,2008,WD ,128000,94,7,658,11.759785542901755,1,36,36
487,1285,902100030,30,RM,5232,Pave,0,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.0,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,680.0,680.0,GasA,1,0,0,764,0,0,764,0.0,0.0,1,0,2,1,0,4,Typ,0,0,2.0,504.0,0,0,0,0,0,0,No,0,6,2008,WD ,73000,83,4,332,11.198214720130528,1,25,25
493,911,909250080,70,RL,5707,Pave,1,Bnk,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2.0,6,6,1935,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,583.0,583.0,GasA,1,1,0,647,595,0,1242,0.0,0.0,1,1,3,1,0,6,Typ,1,0,1.0,180.0,1,329,96,0,0,0,No,0,3,2009,WD ,105000,74,59,4366,11.56171562913966,1,36,36
495,2030,903430050,50,RM,5680,Pave,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5,5,3,1901,1950,Gable,CompShg,AsbShng,AsbShng,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,969.0,969.0,GasA,0,0,0,969,245,0,1214,0.0,0.0,1,0,2,1,0,6,Typ,0,0,1.0,216.0,0,0,0,77,0,0,MnPrv,0,9,2007,WD ,117000,106,57,6042,11.669929213779893,0,25,0
496,2634,535478090,20,RL,7000,Pave,1,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.0,5,6,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,0,TA,No,BLQ,468.0,Unf,0.0,396.0,864.0,GasA,1,1,1,864,0,0,864,0.0,1.0,1,0,3,1,0,5,Typ,0,1,1.0,336.0,1,0,0,0,0,0,GdWo,0,2,2006,WD ,105000,44,44,1936,11.56171562913966,1,25,25
499,812,906226110,90,RL,7018,Pave,1,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1.0,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,0,0.0,0,TA,0,0,No,No,No,0.0,No,0.0,0.0,0.0,GasA,0,1,1,1535,0,0,1535,0.0,0.0,2,0,4,2,0,8,Typ,0,1,2.0,400.0,1,0,0,0,0,0,No,0,6,2009,WD ,118858,30,30,900,11.685684782260491,0,25,0
503,705,902135020,20,RM,6000,Pave,1,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1.0,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,0,0,1,936,0,0,936,0.0,0.0,1,0,2,1,0,4,Min2,0,0,2.0,576.0,1,0,32,112,0,0,No,0,2,2009,WD ,93000,56,56,3136,11.440354772135393,0,16,0
504,1744,528228375,120,RL,3621,Pave,1,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1.0,8,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,1,72.0,1,TA,1,1,TA,Gd,GLQ,1084.0,Unf,0.0,322.0,1406.0,GasA,1,1,1,1589,0,0,1589,1.0,0.0,2,0,2,1,1,7,Typ,1,1,3.0,630.0,1,143,20,0,0,0,No,0,11,2007,WD ,226500,4,4,16,12.330500223905226,16,64,1024
505,357,527163040,60,RL,7837,Pave,0,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2.0,6,7,1993,1994,Gable,CompShg,VinylSd,VinylSd,0,0.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,799.0,799.0,GasA,1,1,1,799,772,0,1571,0.0,0.0,2,1,3,1,0,7,Typ,1,1,2.0,380.0,1,0,40,0,0,0,No,0,5,2009,WD ,178000,16,15,240,12.089538829274222,9,36,324
510,2850,909250070,70,RL,7000,Pave,1,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2.0,7,8,1926,1997,Gable,CompShg,Wd Sdng,Stucco,0,0.0,0,TA,0,0,TA,No,ALQ,424.0,Unf,0.0,200.0,624.0,GasA,1,1,1,743,736,0,1479,1.0,0.0,1,0,3,1,1,6,Typ,2,0,1.0,312.0,1,530,0,56,0,0,MnPrv,0,5,2006,WD ,160000,80,9,720,11.982929094215963,4,49,196
511,1082,528228405,120,RM,3940,Pave,1,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1.0,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,1,24.0,1,TA,1,1,TA,No,GLQ,1087.0,Unf,0.0,306.0,1393.0,GasA,1,1,1,1576,0,0,1576,1.0,0.0,2,0,2,1,1,7,Typ,1,1,3.0,668.0,1,143,20,0,0,0,No,0,5,2008,WD ,219990,4,4,16,12.301337369755954,16,49,784
513,2006,903201090,40,RL,6854,Pave,1,Bnk,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1.0,5,7,1925,1994,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,Gd,1,0,TA,No,LwQ,317.0,Rec,227.0,212.0,756.0,GasA,0,0,0,916,144,0,1060,1.0,0.0,1,0,1,1,0,6,Mod,1,0,1.0,308.0,1,0,65,0,0,150,No,0,8,2007,WD ,136500,82,13,1066,11.824079893607152,0,25,0
518,755,903451090,70,RM,6876,Pave,1,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.0,6,5,1927,1950,Gable,CompShg,Plywood,Plywood,0,0.0,0,TA,0,0,Fa,No,BLQ,522.0,Unf,0.0,198.0,720.0,GasA,0,1,1,1146,784,0,1930,1.0,0.0,2,0,4,1,0,8,Typ,0,1,1.0,316.0,1,0,0,213,0,0,MnPrv,0,8,2009,WD ,149000,82,59,4838,11.911701584927597,0,36,0
519,1178,533236090,160,FV,3951,Pave,0,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2.0,10,5,1998,1999,Gable,CompShg,BrkFace,MetalSd,0,0.0,1,TA,1,1,TA,Mn,BLQ,128.0,GLQ,842.0,0.0,970.0,GasA,1,1,1,1469,924,0,2393,1.0,0.0,2,1,2,1,1,7,Typ,1,1,2.0,846.0,1,0,90,0,0,94,No,0,2,2008,WD ,345000,10,9,90,12.751299696013497,16,100,1600
523,737,903227090,50,RM,6000,Pave,1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5,6,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,Fa,0,0,TA,No,Unf,0.0,Unf,0.0,780.0,780.0,GasA,1,1,0,825,587,0,1412,0.0,0.0,1,0,4,1,0,6,Typ,1,0,1.0,280.0,1,45,0,0,0,0,No,0,5,2009,WD ,132500,70,59,4130,11.794337924408413,1,36,36
527,189,902402130,70,RM,7740,Pave,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.0,4,7,1910,1950,Gable,CompShg,VinylSd,VinylSd,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,622.0,622.0,GasA,1,1,1,741,622,0,1363,0.0,0.0,1,0,3,1,0,6,Typ,0,0,2.0,528.0,1,0,0,0,0,168,No,0,6,2010,WD ,125500,100,60,6000,11.740061037553975,1,16,16
531,966,916455070,20,RL,6853,Pave,0,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1.0,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,1,136.0,1,TA,1,1,TA,No,GLQ,1005.0,Unf,0.0,262.0,1267.0,GasA,1,1,1,1296,0,0,1296,1.0,0.0,2,0,2,1,1,6,Typ,0,1,2.0,471.0,1,192,25,0,0,0,No,0,6,2009,WD ,220000,8,7,56,12.301382825334498,16,64,1024
535,1304,902205090,20,RM,6000,Pave,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.0,5,6,1957,1957,Hip,CompShg,BrkFace,BrkFace,0,0.0,0,TA,0,0,TA,No,Rec,308.0,Unf,0.0,620.0,928.0,GasA,1,1,0,928,0,0,928,0.0,0.0,1,0,3,1,0,5,Typ,0,1,1.0,288.0,1,0,0,0,0,0,No,0,6,2008,WD ,112500,51,51,2601,11.630708500626612,1,25,25
539,2689,903430090,50,RM,5310,Pave,1,Lvl,AllPub,Corner,Gtl,OldTown,Feedr,Norm,1Fam,1.5,6,8,1910,2003,Hip,CompShg,VinylSd,VinylSd,0,0.0,0,Gd,0,0,Fa,No,Unf,0.0,Unf,0.0,485.0,485.0,GasA,1,1,1,1001,634,0,1635,0.0,0.0,1,0,2,1,1,5,Typ,0,1,1.0,255.0,1,394,0,0,0,0,No,0,6,2006,WD ,117000,96,3,288,11.669929213779893,4,36,144
540,2753,906380170,20,RL,7406,Pave,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.0,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,1,84.0,1,TA,1,1,TA,Av,GLQ,684.0,Unf,0.0,515.0,1199.0,GasA,1,1,1,1220,0,0,1220,1.0,0.0,2,0,2,1,1,6,Typ,0,1,2.0,632.0,1,105,54,0,0,0,No,0,7,2006,New,194000,0,0,0,12.175613438045465,16,49,784
541,1169,533215030,120,FV,4538,Pave,0,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1.0,9,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,1,179.0,1,TA,1,1,TA,Av,GLQ,1004.0,Unf,0.0,306.0,1310.0,GasA,1,1,1,1310,0,0,1310,1.0,0.0,1,1,1,1,1,5,Typ,1,1,2.0,545.0,1,277,45,0,0,0,No,0,7,2008,WD ,285000,7,7,49,12.560244459250788,16,81,1296
547,2677,903231190,50,RM,6240,Pave,1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5,5,4,1936,1950,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,0,1,TA,No,Unf,0.0,Unf,0.0,896.0,896.0,GasA,1,1,0,896,448,0,1344,0.0,0.0,1,0,3,1,0,7,Typ,0,0,1.0,240.0,1,200,114,0,0,0,No,0,4,2006,WD ,115000,70,56,3920,11.652687407345388,4,25,100
548,1256,535375160,50,RL,7506,Pave,1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5,5,8,1925,1950,Gable,CompShg,VinylSd,VinylSd,0,0.0,0,Gd,1,0,TA,No,Unf,0.0,Unf,0.0,747.0,747.0,GasA,0,1,1,747,412,0,1159,0.0,0.0,1,0,3,1,0,5,Typ,0,0,1.0,288.0,0,84,0,96,0,0,No,0,5,2008,WD ,114000,83,58,4814,11.643953727376633,0,25,0
551,1337,903227080,50,RM,6000,Pave,1,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5,6,7,1929,1950,Gable,CompShg,WdShing,Wd Shng,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,862.0,862.0,GasA,0,1,1,950,208,0,1158,0.0,0.0,1,0,3,1,0,5,Typ,1,1,1.0,208.0,1,0,0,112,0,0,No,0,7,2008,WD ,120000,79,58,4582,11.695247021764184,0,36,0
555,1366,903458110,50,RM,7920,Pave,0,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1.5,6,7,1920,1950,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,Fa,0,0,TA,No,Unf,0.0,Unf,0.0,319.0,319.0,GasA,0,1,0,1035,371,0,1406,0.0,0.0,1,0,3,1,0,6,Typ,0,0,0.0,0.0,0,0,144,0,0,0,MnPrv,0,3,2008,WD ,89500,88,58,5104,11.401993904262946,0,36,0
557,1380,905104080,20,RL,7162,Pave,0,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.0,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,0,41.0,0,TA,1,0,TA,No,Unf,0.0,Unf,0.0,876.0,876.0,GasA,0,1,1,904,0,0,904,0.0,0.0,1,0,3,1,0,6,Typ,0,1,1.0,408.0,1,0,0,0,0,0,MnPrv,0,12,2008,WD ,109900,42,42,1764,11.607326140391713,0,25,0
559,2804,907290230,120,RM,4435,Pave,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1.0,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,1,169.0,1,TA,1,1,TA,Mn,GLQ,662.0,Unf,0.0,186.0,848.0,GasA,1,1,1,848,0,0,848,1.0,0.0,1,0,1,1,1,3,Typ,1,1,2.0,420.0,1,140,0,0,0,0,No,0,5,2006,WD ,155900,2,2,4,11.956970055045868,16,36,576
564,1039,527427110,120,RH,4060,Pave,1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,TwnhsE,1.0,6,5,1998,1999,Gable,CompShg,MetalSd,MetalSd,0,0.0,1,TA,1,1,TA,No,GLQ,266.0,Unf,0.0,1139.0,1405.0,GasA,1,1,1,1337,0,0,1337,1.0,0.0,2,0,2,1,1,5,Typ,0,1,2.0,511.0,1,144,68,0,0,0,No,0,8,2008,COD,181000,10,9,90,12.106252310247962,16,36,576
569,1343,903231080,50,RM,6240,Pave,1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5,4,7,1929,1950,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,1,0,TA,No,BLQ,80.0,Unf,0.0,624.0,704.0,GasA,1,1,1,624,512,0,1136,0.0,1.0,1,0,2,1,0,6,Typ,0,0,1.0,336.0,1,0,365,80,0,0,No,0,8,2008,WD ,123000,79,58,4582,11.719939634354555,1,16,16
571,1849,533236040,160,FV,2645,Pave,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2.0,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,1,456.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,776.0,776.0,GasA,1,1,1,764,677,0,1441,0.0,0.0,2,1,2,1,1,5,Typ,0,0,2.0,492.0,1,206,0,0,0,0,No,0,11,2007,WD ,174000,8,7,56,12.066810578196666,16,64,1024
575,878,907290180,120,RM,4435,Pave,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1.0,6,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,1,170.0,1,TA,1,1,TA,Av,GLQ,685.0,Unf,0.0,163.0,848.0,GasA,1,1,1,848,0,0,848,1.0,0.0,1,0,1,1,1,4,Typ,0,1,2.0,420.0,1,140,0,0,0,0,No,0,6,2009,WD ,144000,6,5,30,11.877568578558138,16,36,576
576,1548,910202100,30,RM,5890,Pave,1,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.0,6,8,1930,2007,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,1,Gd,0,0,TA,Av,ALQ,538.0,Unf,0.0,278.0,816.0,GasA,1,1,1,816,0,0,816,0.0,0.0,1,0,2,1,0,5,Typ,0,0,1.0,432.0,1,0,0,96,0,0,No,0,6,2008,WD ,120500,78,1,78,11.699405031912846,4,36,144
578,1621,527126030,120,RL,5330,Pave,1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1.0,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,0,0.0,1,TA,1,1,TA,Av,GLQ,1196.0,Unf,0.0,298.0,1494.0,GasA,1,1,1,1652,0,0,1652,1.0,0.0,2,0,2,1,1,6,Typ,0,1,2.0,499.0,1,96,48,0,0,0,No,0,8,2007,WD ,251000,7,7,49,12.43320821811392,16,64,1024
580,1504,908204160,90,RL,6845,Pave,1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1.0,4,5,1955,1955,Gable,CompShg,WdShing,Wd Shng,0,58.0,0,TA,0,0,No,No,No,0.0,No,0.0,0.0,0.0,GasA,0,0,0,1152,0,0,1152,0.0,0.0,2,0,2,2,0,6,Typ,0,0,0.0,0.0,0,0,0,0,0,0,No,0,7,2008,WD ,82500,53,53,2809,11.320553572322773,0,16,0
583,2906,923203090,120,RM,4500,Pave,1,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1.0,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,1,116.0,0,TA,1,1,TA,No,GLQ,897.0,Unf,0.0,319.0,1216.0,GasA,1,1,1,1216,0,0,1216,1.0,0.0,2,0,2,1,0,5,Typ,0,1,2.0,402.0,1,0,125,0,0,0,No,0,5,2006,WD ,164000,8,8,64,12.007621706806335,4,36,144
585,1173,533217050,160,FV,2160,Pave,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2.0,7,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,1,212.0,1,TA,1,1,TA,No,BLQ,510.0,Unf,0.0,90.0,600.0,GasA,1,1,1,624,628,0,1252,1.0,0.0,2,1,2,1,1,4,Typ,0,0,2.0,462.0,1,0,48,0,0,0,No,0,3,2008,WD ,160000,9,8,72,11.982929094215963,16,49,784
586,985,923276260,85,RL,7669,Pave,1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5,5,6,1992,1993,Gable,CompShg,HdBoard,Wd Shng,0,0.0,0,TA,1,1,TA,Av,GLQ,718.0,LwQ,110.0,0.0,828.0,GasA,0,1,1,883,0,0,883,1.0,0.0,1,0,2,1,0,5,Typ,1,0,2.0,698.0,1,100,32,0,0,0,GdPrv,0,6,2009,WD ,149000,17,16,272,11.911701584927597,1,25,25
591,1841,533208040,120,FV,4274,Pave,0,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1.0,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,1,TA,1,1,TA,No,GLQ,1106.0,Unf,0.0,135.0,1241.0,GasA,1,1,1,1241,0,0,1241,1.0,0.0,1,1,1,1,1,4,Typ,0,1,2.0,569.0,1,0,116,0,0,0,No,0,11,2007,New,199900,1,0,0,12.205572520488492,16,49,784
596,1172,533215080,120,FV,5119,Pave,0,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1.0,9,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,1,60.0,1,TA,1,1,TA,Av,GLQ,1238.0,Unf,0.0,460.0,1698.0,GasA,1,1,1,1709,0,0,1709,1.0,0.0,2,0,2,1,1,5,Typ,1,1,2.0,506.0,1,97,65,0,0,0,No,0,1,2008,CWD,328900,9,8,72,12.703509032177148,16,81,1296
601,2477,531376050,60,RL,7632,Pave,0,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2.0,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,1,96.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,784.0,784.0,GasA,1,1,1,831,754,0,1585,0.0,0.0,2,1,3,1,1,7,Typ,0,1,2.0,449.0,1,100,77,0,0,0,No,0,3,2006,WD ,184900,1,1,1,12.127570417375216,16,49,784
610,2244,911128010,20,C (all),6565,Pave,1,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.0,4,6,1957,1980,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,0,0,TA,No,GLQ,967.0,Unf,0.0,106.0,1073.0,GasA,1,1,0,1073,0,0,1073,1.0,0.0,1,0,3,1,0,6,Typ,0,0,2.0,720.0,1,0,444,0,0,0,No,0,8,2007,WD ,140000,50,27,1350,11.84939770159144,1,16,16
611,169,535477020,60,RL,7700,Pave,1,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2.0,6,5,1966,1966,Gable,CompShg,MetalSd,MetalSd,1,351.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,756.0,756.0,GasA,0,1,1,1051,788,0,1839,0.0,0.0,1,1,4,1,0,7,Typ,1,1,2.0,442.0,1,0,124,216,0,0,No,0,6,2010,WD ,155000,44,44,1936,11.951180395901384,0,36,0
612,2670,902456015,50,C (all),4761,Pave,1,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5,3,3,1918,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,Fa,0,0,Fa,No,Unf,0.0,Unf,0.0,1020.0,1020.0,GasA,0,0,0,1020,0,0,1020,0.0,0.0,1,0,2,1,0,5,Typ,0,0,0.0,0.0,0,0,0,105,0,0,No,0,10,2006,ConLD,64500,88,56,4928,11.074420502783864,0,9,0
617,1164,533212140,160,FV,3180,Pave,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2.0,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,689.0,689.0,GasA,1,1,1,703,689,0,1392,0.0,0.0,2,0,2,1,1,5,Typ,0,0,2.0,540.0,1,0,102,0,0,0,No,0,3,2008,WD ,146000,1,1,1,11.891361900690473,16,49,784
